			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
стипендию и			
пенсию	695.0	543.0	152.0
пособие (кроме пособия по безработице)	392.0	317.0	75.0
сбережения	9.0	8.0	1.0
доход от сдачи внаем или в аренду имущества	12.0	11.0	1.0
на иждивении отдельных лиц	39741.0	34311.0	5430.0
иной источник	132.0	124.0	8.0
пенсию и			
пособие	2303.0	1127.0	1176.0
сбережения	287.0	219.0	68.0
доход от сдачи внаем или в аренду имущества	1031.0	290.0	741.0
на иждивении отдельных лиц	12381.0	7737.0	4644.0
иной источник	510.0	382.0	128.0
пособие и			
сбережения	47.0	45.0	2.0
доход от сдачи внаем или в аренду имущества	159.0	79.0	80.0
на иждивении отдельных лиц	250654.0	127686.0	122968.0
иной источник	640.0	385.0	255.0
другие сочетания источников средств к существованию	13813.0	10198.0	3615.0
Мужчины, указавшие два источника средств к существованию	318312.0	150426.0	167886.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	85772.0	24651.0	61121.0
стипендию	820.0	776.0	44.0
пенсию (кроме пенсии по инвалидности)	14710.0	13714.0	996.0
пенсию по инвалидности	2647.0	2045.0	602.0
пособие (кроме пособия по безработице)	443.0	349.0	94.0
пособие по безработице	25.0	15.0	10.0
другой вид государственного обеспечения	4067.0	4027.0	40.0
сбережения	232.0	203.0	29.0
доход от сдачи внаем или в аренду имущества	418.0	147.0	271.0
на иждивении отдельных лиц	1746.0	1377.0	369.0
иной источник	1293.0	979.0	314.0
личное подсобное хозяйство и			
стипендию	119.0	81.0	38.0
пенсию (кроме пенсии по инвалидности)	28718.0	8983.0	19735.0
пенсию по инвалидности	6211.0	1608.0	4603.0
пособие (кроме пособия по безработице)	237.0	63.0	174.0
пособие по безработице	928.0	337.0	591.0
другой вид государственного обеспечения	41.0	12.0	29.0
сбережения	112.0	49.0	63.0
доход от сдачи внаем или в аренду имущества	236.0	10.0	226.0
на иждивении отдельных лиц	12002.0	3863.0	8139.0
иной источник	2279.0	503.0	1776.0
стипендию и			
пенсию	314.0	234.0	80.0
пособие (кроме пособия по безработице)	176.0	143.0	33.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	9.0	8.0	1.0
на иждивении отдельных лиц	18942.0	15995.0	2947.0
иной источник	77.0	70.0	7.0
пенсию и			
пособие	945.0	426.0	519.0
сбережения	115.0	86.0	29.0
доход от сдачи внаем или в аренду имущества	300.0	64.0	236.0
на иждивении отдельных лиц	5901.0	3613.0	2288.0
иной источник	245.0	181.0	64.0
пособие и			
сбережения	12.0	12.0	-
доход от сдачи внаем или в аренду имущества	60.0	30.0	30.0
на иждивении отдельных лиц	120612.0	60452.0	60160.0
иной источник	185.0	105.0	80.0
другие сочетания источников средств к существованию	7358.0	5210.0	2148.0
Женщины, указавшие два источника средств к существованию	346786.0	171171.0	175615.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	69128.0	23446.0	45682.0
стипендию	660.0	636.0	24.0
пенсию (кроме пенсии по инвалидности)	18782.0	16790.0	1992.0
пенсию по инвалидности	1859.0	1529.0	330.0
пособие (кроме пособия по безработице)	5036.0	3904.0	1132.0
пособие по безработице	58.0	46.0	12.0
другой вид государственного обеспечения	376.0	319.0	57.0
