3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
Все домохозяйства	251415.0	884352.0	69527.0	72961.0	58663.0	27793.0	22471.0	3.51749895591
из них домохозяйства, имеющие детей моложе 18 лет	166537.0	668094.0	15550.0	52071.0	51283.0	26062.0	21571.0	4.011685091
в том числе домохозяйства:								
с 1 ребенком	87056.0	283647.0	15392.0	46084.0	16749.0	6343.0	2488.0	3.25821310421
с 2 детьми	53146.0	228387.0	158.0	5904.0	32988.0	8641.0	5455.0	4.29735069431
с 3 и более детьми	26335.0	156060.0		83.0	1546.0	11078.0	13628.0	5.92595405354
в них детей		91278.0		249.0	4685.0	33664.0	52680.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	173729.0	640362.0	33667.0	52492.0	48837.0	22575.0	16158.0	3.68598219065
из них домохозяйства, имеющие детей моложе 18 лет	118802.0	501108.0		37610.0	43809.0	21525.0	15858.0	4.21800979781
в том числе домохозяйства:								
с 1 ребенком	57118.0	198160.0		37610.0	13966.0	4203.0	1339.0	3.46930914948
с 2 детьми	40614.0	177738.0			29843.0	7492.0	3279.0	4.37627419117
с 3 и более детьми	21070.0	125210.0				9830.0	11240.0	5.94257237779
в них детей		73138.0				29490.0	43648.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	5612.0	34430.0			581.0	1576.0	3455.0	6.13506771205
из них домохозяйства, имеющие детей моложе 18 лет	4695.0	30308.0				1330.0	3365.0	6.45537806177
в том числе домохозяйства:								
с 1 ребенком	2129.0	11716.0				1330.0	799.0	5.50305307656
с 2 детьми	1597.0	10470.0					1597.0	6.55604257984
с 3 и более детьми	969.0	8122.0					969.0	8.3818369453
в них детей		3400.0					3400.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	164.0	1459.0					164.0	8.89634146341
из них домохозяйства, имеющие детей моложе 18 лет	148.0	1353.0					148.0	9.14189189189
в том числе домохозяйства:								
с 1 ребенком	41.0	324.0					41.0	7.90243902439
с 2 детьми	47.0	404.0					47.0	8.59574468085
с 3 и более детьми	60.0	625.0					60.0	10.4166666667
в них детей		210.0					210.0	
Домохозяйства, состоящие из матери с детьми	34648.0	86365.0	22211.0	9100.0	2387.0	699.0	251.0	2.49264026784
из них домохозяйства, имеющие детей моложе 18 лет	22829.0	60008.0	12668.0	7185.0	2089.0	651.0	236.0	2.62858644706
в том числе домохозяйства:								
с 1 ребенком	15274.0	33665.0	12668.0	2190.0	340.0	59.0	17.0	2.20407227969
с 2 детьми	5639.0	17717.0		4995.0	517.0	104.0	23.0	3.14186912573
с 3 и более детьми	1916.0	8626.0			1232.0	488.0	196.0	4.50208768267
в них детей		6383.0			3696.0	1799.0	888.0	
Домохозяйства, состоящие из отца с детьми	4242.0	10384.0	2883.0	996.0	246.0	72.0	45.0	2.44790193305
из них домохозяйства, имеющие детей моложе 18 лет	1997.0	5321.0	1104.0	612.0	181.0	60.0	40.0	2.66449674512
в том числе домохозяйства:								
с 1 ребенком	1384.0	3118.0	1104.0	224.0	45.0	9.0	2.0	2.25289017341
с 2 детьми	454.0	1445.0		388.0	52.0	11.0	3.0	3.18281938326
с 3 и более детьми	159.0	758.0			84.0	40.0	35.0	4.76729559748
в них детей		542.0			252.0	147.0	143.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	5157.0	17723.0		3465.0	1278.0	302.0	112.0	3.4366879969
из них домохозяйства, имеющие детей моложе 18 лет	4596.0	15934.0		3002.0	1185.0	299.0	110.0	3.46692776327
в том числе домохозяйства:								
с 1 ребенком	3267.0	10106.0		3002.0	230.0	31.0	4.0	3.09335782063
с 2 детьми	1031.0	4214.0			955.0	62.0	14.0	4.08729388943
с 3 и более детьми	298.0	1614.0				206.0	92.0	5.41610738255
в них детей		979.0				618.0	361.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	11385.0	48234.0		3739.0	3924.0	2113.0	1609.0	4.23662714097
из них домохозяйства, имеющие детей моложе 18 лет	9555.0	41842.0		2581.0	3425.0	1983.0	1566.0	4.3790685505
в том числе домохозяйства:								
с 1 ребенком	5035.0	18945.0		2333.0	1864.0	620.0	218.0	3.76266137041
с 2 детьми	3036.0	13813.0		248.0	1449.0	912.0	427.0	4.54973649539
с 3 и более детьми	1484.0	9084.0			112.0	451.0	921.0	6.12129380054
в них детей		5123.0			336.0	1380.0	3407.0	
Прочие домохозяйства	16478.0	45395.0	10766.0	3169.0	1410.0	456.0	677.0	2.75488530161
из них домохозяйства, имеющие детей моложе 18 лет	3915.0	12220.0	1778.0	1081.0	594.0	214.0	248.0	3.12132822478
в том числе домохозяйства:								
с 1 ребенком	2808.0	7613.0	1620.0	725.0	304.0	91.0	68.0	2.71118233618
с 2 детьми	728.0	2586.0	158.0	273.0	172.0	60.0	65.0	3.5521978022
с 3 и более детьми	379.0	2021.0		83.0	118.0	63.0	115.0	5.33245382586
в них детей		1503.0		249.0	401.0	230.0	623.0	
Приморский край								
Все домохозяйства	598202.0	1820755.0	227251.0	197710.0	121555.0	34915.0	16771.0	3.04371265893
из них домохозяйства, имеющие детей моложе 18 лет	310774.0	1114905.0	37356.0	126436.0	99440.0	31662.0	15880.0	3.5875105382
в том числе домохозяйства:								
с 1 ребенком	214652.0	689269.0	36827.0	116515.0	44738.0	13217.0	3355.0	3.2110998267
с 2 детьми	80469.0	336022.0	529.0	9663.0	53175.0	11351.0	5751.0	4.1757944053
с 3 и более детьми	15653.0	89614.0		258.0	1527.0	7094.0	6774.0	5.72503673417
в них детей		52742.0		774.0	4778.0	21643.0	25547.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	413081.0	1306172.0	122864.0	150482.0	104178.0	26091.0	9466.0	3.16202391299
из них домохозяйства, имеющие детей моложе 18 лет	215027.0	812704.0		94756.0	86976.0	24134.0	9161.0	3.77954396425
в том числе домохозяйства:								
с 1 ребенком	143155.0	488990.0		94756.0	38817.0	8294.0	1288.0	3.41580804024
с 2 детьми	60963.0	260243.0			48159.0	9913.0	2891.0	4.2688680019
с 3 и более детьми	10909.0	63471.0				5927.0	4982.0	5.8182234852
в них детей		36515.0				17781.0	18734.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	11448.0	63050.0			1840.0	4652.0	4956.0	5.50751222921
из них домохозяйства, имеющие детей моложе 18 лет	8677.0	50797.0				3915.0	4762.0	5.85421228535
в том числе домохозяйства:								
с 1 ребенком	5692.0	30526.0				3915.0	1777.0	5.36296556571
с 2 детьми	2339.0	14996.0					2339.0	6.41128687473
с 3 и более детьми	646.0	5275.0					646.0	8.16563467492
в них детей		2229.0					2229.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	213.0	1808.0					213.0	8.4882629108
из них домохозяйства, имеющие детей моложе 18 лет	187.0	1644.0					187.0	8.79144385027
в том числе домохозяйства:								
с 1 ребенком	59.0	437.0					59.0	7.40677966102
с 2 детьми	67.0	551.0					67.0	8.22388059701
с 3 и более детьми	61.0	656.0					61.0	10.7540983607
в них детей		227.0					227.0	
Домохозяйства, состоящие из матери с детьми	88107.0	202843.0	65818.0	18978.0	2615.0	485.0	211.0	2.30223478271
из них домохозяйства, имеющие детей моложе 18 лет	46926.0	115032.0	29760.0	14151.0	2347.0	459.0	209.0	2.45134893236
в том числе домохозяйства:								
с 1 ребенком	36336.0	79954.0	29760.0	5934.0	584.0	52.0	6.0	2.20040730956
с 2 детьми	9108.0	28358.0		8217.0	772.0	102.0	17.0	3.11352657005
с 3 и более детьми	1482.0	6720.0			991.0	305.0	186.0	4.53441295547
в них детей		4921.0			2973.0	1090.0	858.0	
Домохозяйства, состоящие из отца с детьми	10393.0	23284.0	8279.0	1823.0	219.0	56.0	16.0	2.24035408448
из них домохозяйства, имеющие детей моложе 18 лет	4358.0	10487.0	2931.0	1171.0	189.0	51.0	16.0	2.40637907297
в том числе домохозяйства:								
с 1 ребенком	3579.0	7889.0	2931.0	573.0	67.0	8.0	-	2.20424699637
с 2 детьми	686.0	2167.0		598.0	69.0	17.0	2.0	3.15889212828
с 3 и более детьми	93.0	431.0			53.0	26.0	14.0	4.63440860215
в них детей		305.0			159.0	91.0	55.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	14163.0	46078.0		11114.0	2630.0	334.0	85.0	3.2534067641
из них домохозяйства, имеющие детей моложе 18 лет	11528.0	37865.0		8776.0	2344.0	323.0	85.0	3.28461138099
в том числе домохозяйства:								
с 1 ребенком	9508.0	29316.0		8776.0	679.0	46.0	7.0	3.08329827514
с 2 детьми	1736.0	7025.0			1665.0	62.0	9.0	4.04665898618
с 3 и более детьми	284.0	1524.0				215.0	69.0	5.3661971831
в них детей		929.0				645.0	284.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	20032.0	77631.0		8659.0	7458.0	2597.0	1318.0	3.87534944089
из них домохозяйства, имеющие детей моложе 18 лет	15164.0	61334.0		5177.0	6322.0	2393.0	1272.0	4.04471115801
в том числе домохозяйства:								
с 1 ребенком	9963.0	36177.0		4951.0	4062.0	777.0	173.0	3.63113520024
с 2 детьми	3949.0	17620.0		226.0	2181.0	1163.0	379.0	4.46188908584
с 3 и более детьми	1252.0	7537.0			79.0	453.0	720.0	6.01996805112
в них детей		4265.0			237.0	1375.0	2653.0	
Прочие домохозяйства	40765.0	99889.0	30290.0	6654.0	2615.0	700.0	506.0	2.45036183
из них домохозяйства, имеющие детей моложе 18 лет	8907.0	25042.0	4665.0	2405.0	1262.0	387.0	188.0	2.81149657573
