7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
4 человек	54389.0	28712.0	16744.0	9773.0	2195.0	6743.0	25677.0
из них имеют занятых							
1 человека	16362.0	10737.0	6330.0	2733.0	1674.0	5022.0	5625.0
2 человек	25002.0	12161.0	6110.0	6051.0			12841.0
3 человек	6108.0	2652.0	2652.0				3456.0
4 человек	1034.0						1034.0
5 и более человек	24912.0	15213.0	7887.0	4272.0	3054.0	10714.0	9699.0
в них членов домохозяйств	137863.0	85295.0	43222.0	23726.0	18347.0		52568.0
из них имеют занятых							
1 человека	6566.0	4490.0	2365.0	1066.0	1059.0	3790.0	2076.0
2 человек	8103.0	4787.0	2265.0	1492.0	1030.0	3370.0	3316.0
3 человек	4410.0	2732.0	1565.0	921.0	246.0	833.0	1678.0
4 человек	1803.0	911.0	685.0	161.0	65.0	224.0	892.0
5 и более человек	416.0	164.0	99.0	39.0	26.0	113.0	252.0
в них занятых	2274.0	879.0	518.0	205.0	156.0		1395.0
Домохозяйства, в которых есть занятые	204394.0	80557.0	59292.0	17165.0	4100.0	13352.0	123837.0
в них членов домохозяйств	655516.0	291552.0	200573.0	69682.0	21297.0		363964.0
Домохозяйства, в которых нет занятых	58768.0	16648.0	11473.0	3716.0	1459.0	5035.0	42120.0
в них членов домохозяйств	154237.0	52918.0	33351.0	12807.0	6760.0		101319.0
Камчатская область							
Все домохозяйства	102231.0	50647.0	34055.0	13332.0	3260.0	10484.0	51584.0
в них членов домохозяйств	310305.0	173098.0	105999.0	51418.0	15681.0		137207.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	37398.0	8063.0	7674.0	389.0			29335.0
из них имеют занятых							
1 человека	15965.0	5762.0	5762.0				10203.0
2 человек	10804.0						10804.0
3 человек	36202.0	21922.0	17843.0	3920.0	159.0	477.0	14280.0
из них имеют занятых							
1 человека	12234.0	8418.0	5058.0	3360.0			3816.0
2 человек	17320.0	11409.0	11409.0				5911.0
3 человек	2423.0						2423.0
4 человек	20802.0	14831.0	6366.0	7016.0	1449.0	4375.0	5971.0
из них имеют занятых							
1 человека	5795.0	4551.0	1616.0	1670.0	1265.0	3795.0	1244.0
2 человек	10094.0	7521.0	2574.0	4947.0			2573.0
3 человек	2695.0	1781.0	1781.0				914.0
4 человек	388.0						388.0
5 и более человек	7829.0	5831.0	2172.0	2007.0	1652.0	5632.0	1998.0
в них членов домохозяйств	43695.0	31882.0	11658.0	10816.0	9408.0		11813.0
из них имеют занятых							
1 человека	1854.0	1431.0	454.0	388.0	589.0	2084.0	423.0
2 человек	2801.0	2157.0	665.0	799.0	693.0	2234.0	644.0
3 человек	1553.0	1246.0	547.0	563.0	136.0	452.0	307.0
4 человек	651.0	480.0	321.0	123.0	36.0	128.0	171.0
5 и более человек	178.0	57.0	36.0	14.0	7.0	23.0	121.0
в них занятых	1814.0	299.0	189.0	72.0	38.0		1515.0
Домохозяйства, в которых есть занятые	84755.0	44813.0	30223.0	11864.0	2726.0	8716.0	39942.0
в них членов домохозяйств	264621.0	155769.0	95655.0	46717.0	13397.0		108852.0
Домохозяйства, в которых нет занятых	17476.0	5834.0	3832.0	1468.0	534.0	1768.0	11642.0
в них членов домохозяйств	45684.0	17329.0	10344.0	4701.0	2284.0		28355.0
Корякский автономный округ							
Все домохозяйства	7072.0	2235.0	1597.0	498.0	140.0	480.0	4837.0
в них членов домохозяйств	22259.0	7974.0	5194.0	2037.0	743.0		14285.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	2715.0	335.0	331.0	4.0			2380.0
из них имеют занятых							
1 человека	1081.0	262.0	262.0				819.0
2 человек	988.0						988.0
3 человек	2134.0	905.0	803.0	100.0	2.0	6.0	1229.0
из них имеют занятых							
1 человека	740.0	294.0	211.0	83.0			446.0
2 человек	1006.0	532.0	532.0				474.0
3 человек	112.0						112.0
4 человек	1376.0	628.0	291.0	295.0	42.0	127.0	748.0
из них имеют занятых							
1 человека	433.0	199.0	99.0	64.0	36.0	108.0	234.0
2 человек	603.0	306.0	99.0	207.0			297.0
3 человек	125.0	56.0	56.0				69.0
4 человек	16.0						16.0
5 и более человек	847.0	367.0	172.0	99.0	96.0	347.0	480.0
в них членов домохозяйств	4923.0	2077.0	959.0	549.0	569.0		2846.0
из них имеют занятых							
1 человека	265.0	125.0	60.0	24.0	41.0	150.0	140.0
2 человек	299.0	125.0	47.0	39.0	39.0	133.0	174.0
3 человек	105.0	55.0	29.0	23.0	3.0	14.0	50.0
4 человек	38.0	21.0	17.0	2.0	2.0	7.0	17.0
5 и более человек	9.0	4.0	4.0	-	-	-	5.0
в них занятых	83.0	21.0	21.0	-	-		62.0
Домохозяйства, в которых есть занятые	5820.0	1979.0	1416.0	442.0	121.0	412.0	3841.0
в них членов домохозяйств	18531.0	7109.0	4646.0	1817.0	646.0		11422.0
Домохозяйства, в которых нет занятых	1252.0	256.0	181.0	56.0	19.0	68.0	996.0
в них членов домохозяйств	3728.0	865.0	548.0	220.0	97.0		2863.0
Магаданская область							
Все домохозяйства	54001.0	24046.0	17314.0	5467.0	1265.0	4078.0	29955.0
в них членов домохозяйств	156716.0	79190.0	52491.0	20684.0	6015.0		77526.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	22374.0	4690.0	4426.0	264.0			17684.0
из них имеют занятых							
1 человека	9728.0	3406.0	3406.0				6322.0
2 человек	7964.0						7964.0
3 человек	19132.0	10915.0	9111.0	1722.0	82.0	246.0	8217.0
из них имеют занятых							
1 человека	5902.0	3845.0	2383.0	1462.0			2057.0
2 человек	10102.0	6155.0	6155.0				3947.0
3 человек	1411.0						1411.0
4 человек	9314.0	6183.0	2896.0	2735.0	552.0	1674.0	3131.0
из них имеют занятых							
1 человека	2404.0	1815.0	734.0	614.0	467.0	1401.0	589.0
2 человек	4786.0	3199.0	1215.0	1984.0			1587.0
3 человек	1346.0	806.0	806.0				540.0
4 человек	185.0						185.0
5 и более человек	3181.0	2258.0	881.0	746.0	631.0	2158.0	923.0
в них членов домохозяйств	17316.0	12333.0	4722.0	4050.0	3561.0		4983.0
из них имеют занятых							
1 человека	759.0	590.0	222.0	124.0	244.0	887.0	169.0
2 человек	1150.0	810.0	250.0	283.0	277.0	875.0	340.0
3 человек	704.0	514.0	224.0	250.0	40.0	131.0	190.0
4 человек	244.0	161.0	113.0	37.0	11.0	36.0	83.0
5 и более человек	46.0	17.0	12.0	4.0	1.0	3.0	29.0
в них занятых	263.0	88.0	61.0	22.0	5.0		175.0
Домохозяйства, в которых есть занятые	46731.0	21318.0	15520.0	4758.0	1040.0	3333.0	25413.0
в них членов домохозяйств	138282.0	71478.0	47840.0	18553.0	5085.0		66804.0
Домохозяйства, в которых нет занятых	7270.0	2728.0	1794.0	709.0	225.0	745.0	4542.0
в них членов домохозяйств	18434.0	7712.0	4651.0	2131.0	930.0		10722.0
Сахалинская область							
Все домохозяйства	160725.0	75338.0	51458.0	18553.0	5327.0	17189.0	85387.0
в них членов домохозяйств	486162.0	260424.0	163030.0	71585.0	25809.0		225738.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	60488.0	12402.0	11706.0	696.0			48086.0
из них имеют занятых							
1 человека	25819.0	8455.0	8455.0				17364.0
2 человек	16323.0						16323.0
3 человек	55599.0	31260.0	25009.0	5966.0	285.0	855.0	24339.0
из них имеют занятых							
1 человека	19447.0	13029.0	7995.0	5034.0			6418.0
2 человек	26391.0	14693.0	14693.0				11698.0
3 человек	3682.0						3682.0
4 человек	31422.0	21596.0	10689.0	8608.0	2299.0	7015.0	9826.0
из них имеют занятых							
1 человека	8892.0	7228.0	3092.0	2219.0	1917.0	5751.0	1664.0
2 человек	14912.0	9962.0	4188.0	5774.0			4950.0
3 человек	4506.0	2685.0	2685.0				1821.0
4 человек	653.0						653.0
5 и более человек	13216.0	10080.0	4054.0	3283.0	2743.0	9319.0	3136.0
в них членов домохозяйств	72701.0	55456.0	21835.0	17863.0	15758.0		17245.0
из них имеют занятых							
1 человека	3085.0	2604.0	888.0	725.0	991.0	3498.0	481.0
2 человек	4461.0	3444.0	1187.0	1210.0	1047.0	3361.0	1017.0
3 человек	2873.0	2218.0	1044.0	906.0	268.0	874.0	655.0
4 человек	1198.0	791.0	541.0	185.0	65.0	212.0	407.0
5 и более человек	305.0	137.0	83.0	28.0	26.0	93.0	168.0
в них занятых	1786.0	729.0	446.0	145.0	138.0		1057.0
Домохозяйства, в которых есть занятые	132547.0	65246.0	44851.0	16081.0	4314.0	13789.0	67301.0
в них членов домохозяйств	413997.0	230109.0	144962.0	63672.0	21475.0		183888.0
Домохозяйства, в которых нет занятых	28178.0	10092.0	6607.0	2472.0	1013.0	3400.0	18086.0
в них членов домохозяйств	72165.0	30315.0	18068.0	7913.0	4334.0		41850.0
Еврейская автономная область							
Все домохозяйства	54215.0	19196.0	14217.0	4078.0	901.0	2920.0	35019.0
в них членов домохозяйств	168427.0	67804.0	46986.0	16233.0	4585.0		100623.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	19985.0	3240.0	3064.0	176.0			16745.0
из них имеют занятых							
1 человека	7561.0	2021.0	2021.0				5540.0
2 человек	4404.0						4404.0
3 человек	17634.0	7435.0	6312.0	1073.0	50.0	150.0	10199.0
из них имеют занятых							
1 человека	6418.0	3063.0	2206.0	857.0			3355.0
2 человек	7604.0	3306.0	3306.0				4298.0
3 человек	970.0						970.0
4 человек	10903.0	5525.0	3210.0	2002.0	313.0	959.0	5378.0
из них имеют занятых							
1 человека	3399.0	1894.0	1140.0	512.0	242.0	726.0	1505.0
2 человек	4971.0	2576.0	1243.0	1333.0			2395.0
3 человек	1109.0	496.0	496.0				613.0
4 человек	160.0						160.0
5 и более человек	5693.0	2996.0	1631.0	827.0	538.0	1811.0	2697.0
в них членов домохозяйств	31943.0	16919.0	9082.0	4654.0	3183.0		15024.0
из них имеют занятых							
1 человека	1657.0	963.0	525.0	230.0	208.0	714.0	694.0
2 человек	1839.0	986.0	480.0	311.0	195.0	622.0	853.0
3 человек	860.0	470.0	300.0	136.0	34.0	104.0	390.0
4 человек	316.0	146.0	111.0	29.0	6.0	21.0	170.0
5 и более человек	65.0	18.0	13.0	5.0	-	-	47.0
в них занятых	463.0	108.0	70.0	38.0	-		355.0
Домохозяйства, в которых есть занятые	41333.0	15939.0	11841.0	3413.0	685.0	2187.0	25394.0
в них членов домохозяйств	133821.0	57469.0	39989.0	13928.0	3552.0		76352.0
Домохозяйства, в которых нет занятых	12882.0	3257.0	2376.0	665.0	216.0	733.0	9625.0
в них членов домохозяйств	34606.0	10335.0	6997.0	2305.0	1033.0		24271.0
Чукотский автономный округ							
Все домохозяйства	14906.0	4240.0	3404.0	721.0	115.0	391.0	10666.0
в них членов домохозяйств	46150.0	14833.0	11247.0	2978.0	608.0		31317.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	5787.0	734.0	721.0	13.0			5053.0
из них имеют занятых							
1 человека	2238.0	581.0	581.0				1657.0
2 человек	2696.0						2696.0
3 человек	4949.0	1823.0	1644.0	176.0	3.0	9.0	3126.0
из них имеют занятых							
1 человека	1218.0	530.0	371.0	159.0			688.0
2 человек	2894.0	1179.0	1179.0				1715.0
3 человек	443.0						443.0
4 человек	2520.0	1025.0	619.0	372.0	34.0	102.0	1495.0
из них имеют занятых							
1 человека	514.0	275.0	189.0	59.0	27.0	81.0	239.0
2 человек	1416.0	539.0	248.0	291.0			877.0
3 человек	343.0	141.0	141.0				202.0
4 человек	75.0						75.0
5 и более человек	1650.0	658.0	420.0	160.0	78.0	280.0	992.0
в них членов домохозяйств	9649.0	3796.0	2397.0	936.0	463.0		5853.0
из них имеют занятых							
1 человека	371.0	220.0	144.0	47.0	29.0	116.0	151.0
2 человек	601.0	218.0	129.0	57.0	32.0	101.0	383.0
3 человек	237.0	94.0	61.0	27.0	6.0	19.0	143.0
4 человек	123.0	52.0	42.0	9.0	1.0	3.0	71.0
5 и более человек	196.0	13.0	7.0	3.0	3.0	15.0	183.0
в них занятых	1372.0	68.0	36.0	16.0	16.0		1304.0
Домохозяйства, в которых есть занятые	13365.0	3842.0	3092.0	652.0	98.0	335.0	9523.0
в них членов домохозяйств	41845.0	13554.0	10312.0	2711.0	531.0		28291.0
Домохозяйства, в которых нет занятых	1541.0	398.0	312.0	69.0	17.0	56.0	1143.0
в них членов домохозяйств	4305.0	1279.0	935.0	267.0	77.0		3026.0
